TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,EBY DIFF INDUSTRY
2,Bruce Branch III,Prolific Prep,?,Scoring Wing,Perimeter Stopper,"6'7""",4,8,,6,2,1,4.2,4,4
2,Dylan Mingo ,Long Island Lutheran,?,Primary Initiator,Perimeter Stopper,"6'3""",2,6,2,9,3,2,4.0,4.4,3
2,Tyran Stokes,Ranier Beach ,?,Wing Handler,Helper,"6'8""",1,1,1,1,1,3,1.3,1,-2
3,Hugo Yimga Mourkouri,Nantarre 92 (FRA),?,Scoring Wing,Perimeter Stopper,"6'6""",,,,,14,4,9.0,14,-0.5
3,Caleb Holt ,Prolific Prep,?,Scoring Wing,Perimeter Stopper,"6'7""",9,5,5,5,8,5,6.2,6.4,1.75
3,Brandon McCoy,Sierra Canyon ,?,Combo Wing,Perimeter Disruptor,"6'5""",7,9,7,19,7,6,9.2,9.8,4.5
3,Cameron Williams ,St. Mary's ,Duke,Skilled Big ,Versatile Big,"6'11""",14,4,8,2,9,7,7.3,7.4,0.25
3,Stefan Joksimovic,Baskonia (SLO),?,Wing Handler,Helper,"6'6""",,,,,,8,8.0,,
3,Bryson Howard,Heritage ,Duke,Combo Wing,Perimeter Stopper,"6'5""",3,12,10,17,5,9,9.3,9.4,0.25
3,Anthony Thompson,Western Reserve Academy,Ohio State,Off-Ball Wing,Helper,"6'7""",8,7,4,12,4,10,7.5,7,-2.25
3,Jordan Smith Jr. ,St. Paul IV,?,Slasher,Point-of-Attack,"6'2""",11,2,3,3,6,11,6.0,5,-5.5
3,Baba Olatodun,James Hubert Blake,Maryland,Scoring Wing,Helper,"6'8""",10,10,6,7,13,12,9.7,9.2,-2
4,Deron Rippey Jr. ,Blair Academy,?,Primary Ball Handler,Point-of-Attack,"6'1""",6,6,9,16,10,13,10.0,9.4,-3.5
4,Christian Collins,St. John Bosco,?,Play Finishing Forward,Versatile Big,"6'9""",15,8,11,8,17,14,12.2,11.8,-2
4,Arafan Diane,Iowa United Prep (GIN),Houston,Post Scorer,Rim Protector,"7'1""",12,17,16,20,15,15,15.8,16,1
4,Taylen Kinney,Overtime Elite,Kansas,Primary Initiator,Point-of-Attack,"6'2""",26,13,15,18,20,16,18.0,18.4,3.25
4,Qayden Samuels,Bishop McNamara,?,Scoring Wing,Perimeter Stopper,"6'6""",43,18,34,22,36,17,28.3,30.6,12.75
4,Juom Maker Bol,Baskonia (SSD),?,Skilled Big ,Rim Protector,"7'1""",,,,,,18,18.0,,
4,Sayon Keita,Barcelona (MLI),?,Play Finishing Big,Rim Protector,"6'11""",,,,,19,19,19.0,19,-14.25
4,Colben Landrew,Wheeler,UConn,Combo Wing,Perimeter Disruptor,"6'6""",25,21,20,40,18,20,24.0,24.8,6
